"feature","coefficient","p_value"
"1837",-0.285714285714286,0.500793650793651
"1841",-0.119047619047619,0.793005952380952
"1847",0.285714285714286,0.500793650793651
"1856",0.476190476190476,0.243055555555556
"1867",-0.0952380952380952,0.840128968253968
"1868",0.19047619047619,0.664583333333333
"1869",0.19047619047619,0.664583333333333
"1870",-0.238095238095238,0.582142857142857
"1879",0.333333333333333,0.427876984126984
"1881",-0.261904761904762,0.53640873015873
"1883",-0.238095238095238,0.582142857142857
"1884",-0.214285714285714,0.619097222222222
"1885",0.0952380952380952,0.840128968253968
"1887",-0.214285714285714,0.619097222222222
"1889",0.404761904761905,0.326835317460317
"1890",0.0714285714285714,0.881994047619048
"1891",-0.214285714285714,0.619097222222222
"1894",-0.428571428571429,0.299206349206349
"1896",-0.285714285714286,0.500793650793651
"1897",-0.214285714285714,0.619097222222222
"1903",-0.238095238095238,0.582142857142857
"1904",-0.214285714285714,0.619097222222222
"1905",-0.0952380952380952,0.840128968253968
"1906",-0.0476190476190476,0.934871031746032
"1914",-0.0952380952380952,0.840128968253968
"1915",-0.19047619047619,0.664583333333333
"1920",0.166666666666667,0.703323412698413
"1921",-0.261904761904762,0.53640873015873
"1922",0.0238095238095238,0.976785714285714
"1924",-0.238095238095238,0.582142857142857
"1925",-0.261904761904762,0.53640873015873
"1929",-0.285714285714286,0.500793650793651
"1930",-0.0952380952380952,0.840128968253968
"1933",-0.19047619047619,0.664583333333333
"1939",-0.0952380952380952,0.840128968253968
"1941",-0.523809523809524,0.196626984126984
"1942",-0.142857142857143,0.75203373015873
"1948",0,1
"1957",-0.619047619047619,0.114980158730159
"1987",-0.380952380952381,0.359871031746032
"1997",0.261904761904762,0.53640873015873
"2007",0.761904761904762,0.0367559523809524
"2008",-0.0952380952380952,0.840128968253968
"2014",-0.166666666666667,0.703323412698413
"2015",-0.0238095238095238,0.976785714285714
"2018",0.523809523809524,0.196626984126984
"2019",0.5,0.216170634920635
"2022",-0.380952380952381,0.359871031746032
"2026",0.0714285714285714,0.881994047619048
"2046",0.833333333333333,0.0153769841269841
"2085",-0.404761904761905,0.326835317460317
"2088",-0.880952380952381,0.00724206349206349
"2090",0.404761904761905,0.326835317460317
"2101",0.619047619047619,0.114980158730159
"2107",-0.285714285714286,0.500793650793651
"2108",0.261904761904762,0.53640873015873
"2113",0.0952380952380952,0.840128968253968
"2115",NA,NA
"2116",0.0238095238095238,0.976785714285714
"2141",NA,NA
"2148",-0.285714285714286,0.500793650793651
"2156",-0.714285714285714,0.0575892857142857
"2159",-0.357142857142857,0.389384920634921
"2163",0.19047619047619,0.664583333333333
"2164",0.142857142857143,0.75203373015873
"2165",0.428571428571429,0.299206349206349
"2174",0.333333333333333,0.427876984126984
"2183",-0.142857142857143,0.75203373015873
"2188",-0.0952380952380952,0.840128968253968
"2189",0,1
"2206",-0.547619047619048,0.170982142857143
"2207",0.0714285714285714,0.881994047619048
"2213",0.0952380952380952,0.840128968253968
"2221",0.357142857142857,0.389384920634921
"2239",-0.166666666666667,0.703323412698413
"2240",-0.166666666666667,0.703323412698413
"2242",0,1
"2248",-0.285714285714286,0.500793650793651
"2250",-0.333333333333333,0.427876984126984
"2268",-0.30952380952381,0.461805555555556
"2283",-0.452380952380952,0.267460317460317
"2286",-0.452380952380952,0.267460317460317
"2287",-0.547619047619048,0.170982142857143
"2310",0.718575757147955,0.0446226100244192
"2313",0.238095238095238,0.582142857142857
"2318",0.619047619047619,0.114980158730159
