ID,Comp1_Loading,Comp2_Loading
1626,0.011286199565180592,-0.03303589282211919
1627,0.001136975544626575,-0.00969633380408615
1629,-6.426294426312086e-4,-0.001463841919191229
1631,0.0038664782378704868,-0.026862606490361245
1632,9.20794904779683e-4,-0.004462817057351329
1633,0.021047710732088984,-0.0645381528213039
1635,0.017320087097515362,-0.02127608905248328
1640,0.0014743470070268231,-0.01653991475189817
1660,0.0024804287104685328,-0.0023291542316370723
1662,4.998299882686538e-4,-3.9314000420973667e-4
1664,6.689321156592401e-4,-1.036144633085612e-4
1670,0.0430427870211895,0.09133420194988257
1686,4.1807231356571866e-4,0.003761481814427667
1688,2.3654754416415735e-4,0.0024380631298527348
1689,7.398064784462604e-4,0.002045416773621242
1690,1.251421230296013e-4,0.001659275130066675
1696,-7.237337499042255e-5,9.660523178245715e-4
1697,4.913501814886042e-4,3.4509585358623166e-4
1698,4.1561743667165523e-4,6.078728714101334e-4
1706,8.185845638114656e-4,0.0021806369902997134
1709,4.2748407306817114e-4,-0.0020617302617040385
1710,8.000781143892959e-4,0.00416359377809505
1712,1.8575935404583258e-4,7.643412066672863e-4
1714,-1.5175172161983858e-4,8.55198862693668e-5
1715,8.277858877616999e-4,-0.001635665846956814
1716,-1.016269281919955e-4,0.002449768678483723
1717,7.907438361158234e-5,7.126987619544294e-5
1723,-9.821776618951378e-5,8.338815181824626e-4
1727,-0.003339158459705943,0.0038868617353903473
1729,-7.44449482875675e-5,0.0036070019653354586
1730,6.696212203318159e-4,7.244554072734562e-4
1731,7.821238922828514e-4,-3.3900980157536704e-4
1734,3.595096557248844e-4,-2.3317119558888722e-4
1736,0.00141621742217557,-0.002098426558775503
1737,-0.0011212999452178628,0.003342919167812509
1742,-2.0683909640740775e-4,7.147636505434999e-4
1744,3.4071169002728135e-4,-8.594919170184458e-5
1746,6.983926679539413e-4,-2.992316130626945e-4
1747,0.0012068773273898404,-0.0034323263396956742
1748,0.002057514516353077,0.001388981058270465
1749,8.197239118590426e-4,-9.90928367502117e-4
1754,-1.7953503226355784e-5,-1.5249583631972975e-4
1757,-4.2380189768045554e-4,1.6171154857324066e-4
1760,2.783930284744418e-4,-2.7751657287737174e-4
1761,3.2212427094135634e-4,-3.767354491231389e-4
1764,7.673511326421417e-4,-9.267587786835932e-4
1770,-6.847562744685166e-4,0.0033720743863744377
1771,2.0359651999072955e-4,3.469446276415972e-4
1779,0.002159318804189467,-0.00666919727535026
1780,8.063252994259887e-4,-9.77838440774177e-4
1781,0.002368796089848735,-0.002761483431911854
1784,3.3555840062422896e-4,-6.151240821645824e-5
1785,1.5029458475227622e-5,2.121987613866318e-4
1786,0.0011343663443708915,-0.0010882820615761583
1788,0.02673541879257006,-0.01603800158900234
1795,-3.734993624115326e-4,-0.06106118260756652
1798,0.001695766731597195,-0.0010112072775569103
1799,-0.0025632569476705027,0.03743436887084868
1800,-0.04117858967299572,0.022192480279203893
1801,0.020752237784870495,-0.025317079936527567
1802,-2.909804453142238e-4,0.0037017397973786973
1803,0.003625433554658826,-0.008875452529485883
1806,-4.249181267628982e-5,7.142970762490875e-5
1808,6.460276642323375e-5,-1.4017632869071253e-4
1809,1.7502523306221524e-4,-2.122547824253192e-4
1811,0.013568015566200265,-0.01612321679187987
1812,1.2522709022198011e-4,-4.566191202190158e-5
1813,3.4087994312306433e-4,-6.792465069786987e-4
1814,4.204460380348474e-4,-2.770458623007084e-4
1817,6.563230083662806e-4,-1.7623301142139926e-4
1818,-9.050523490938136e-4,0.004425905305331593
1820,0.0010210673959764132,-0.0012382582452983922
1823,-2.8022456857349488e-5,-2.4239797222206137e-5
1825,7.556502212870676e-4,-7.002714930193557e-4
1826,7.965588966761532e-5,1.1831469416619236e-4
1828,2.2093327130674463e-4,2.7813615607921166e-5
1829,5.477867424673668e-4,3.47912498199392e-4
1830,1.5256283017591328e-4,8.393460834446061e-5
1831,3.040649727595455e-4,-1.9643233129900585e-4
1832,0.013291117735484926,-0.008560187989339049
1836,7.034444352485015e-4,-3.085447680570897e-4
1837,9.324759989781078e-4,-9.827204837899956e-4
1841,2.466375393921831e-4,1.7673555274770624e-4
1847,5.785567790245214e-5,-2.477540868177673e-4
1856,4.5462111747994396e-4,-0.0013860331766262241
1867,0.009182669501101146,-0.039984996742404064
1868,4.4829563226270186e-4,0.0010178484674339676
1869,-0.010438624416759253,0.002998605763838747
1870,0.001480032568159285,-6.414649796446138e-4
1879,0.038102469656818544,-0.04119210149414511
1881,0.003991213977480758,-0.009982003284110101
1883,0.009328011807911707,-0.01867484446179829
1884,0.0030589905855014253,-0.00782510822221547
1885,3.6832180226532103e-4,-0.002034423689105719
1887,0.0020660678929324866,-0.0065607526055622475
1889,0.002277041342038409,-0.002242096217017275
1890,9.291483879183462e-4,-0.002382832668318059
1891,-1.9636939179448035e-4,-9.954335180124057e-5
1894,-4.886772914425945e-4,-2.514298949605365e-4
1896,0.0011121196513889685,-0.006359004792695712
