"","Feature","Comp1_Loading","Comp2_Loading"
"x187","515.12446_0.6798",-0.000255387334964757,-0.001540213913382
"x188","167.02062_0.6798",0.00774695235638824,0.00853830477494709
"x189","195.05053_0.6829",0.0164288835847953,-0.0110802016828229
"x190","175.02436_0.687",0.000297576352901965,-0.000557290933018195
"x191","149.04512_0.6876",0.0086115519435505,-0.00912429638969709
"x192","209.06623_0.6876",0.0215590248851404,-0.0272906761691902
"x193","267.07173_0.8085",0.00135338934441021,-0.00168952530935854
"x194","191.01935_0.6994",-0.00383153407375358,0.00255532296679061
"x195","145.01392_0.6887",0.00215436248122471,0.00141752515161624
"x196","129.01909_0.6888",-0.00141245668947354,0.0079494234703148
"x197","165.04002_0.6888",0.0110210062805975,-0.0101442962720141
"x198","135.02961_0.6888",0.184531429157155,-0.177667584327689
"x199","219.01417_0.6899",-0.00108438541278237,0.00491245907378972
"x200","133.01394_0.8668",0.128909309934593,-0.521360855173757
"x201","254.01493_0.7102",-0.00652206829947972,0.0089195276554774
"x202","183.01547_0.6895",0.00415472738950021,0.00327920381015593
"x203","173.04505_0.6888",-0.00105438665444891,-0.00195881271612797
"x204","173.00869_0.6923",-0.00498124812115815,0.0217036722152897
"x205","228.99296_0.6922",-0.00121625938537609,0.000411422951187361
"x206","226.99604_0.6911",-0.00349812825177547,0.00223565193494512
"x207","203.00446_0.6922",0.00133751668295005,-0.00106627115546094
"x208","435.95743_0.6911",-0.000372142417969662,0.00128788912265378
"x209","205.03491_0.6929",0.000339989012407777,0.00102171520958368
"x210","290.94485_0.6888",4.5080737890067e-05,0.000518164937610758
"x211","163.0245_0.7313",0.000109436580696516,-0.000238736224686932
"x212","368.00414_0.6964",0.00190984077362737,-0.00240072354667683
"x213","234.95456_0.8346",0.00104708974343003,-0.000876290379610755
"x214","175.04685_0.8346",0.000416840308159322,0.00116463809271084
"x215","293.04888_0.6916",0.00199229889973616,-0.00217625928237374
"x216","142.99824_0.6948",-0.00295838826879324,0.0277825966253049
"x217","124.98775_0.6942",-0.000295309690652841,0.00168351255499033
"x218","289.93673_0.6009",-0.000845963624708579,0.00539002289627878
"x219","347.02503_0.6942",-0.00168966160372446,0.00494329811798258
"x220","268.03056_0.7032",-0.000141501036644588,0.000646813846131683
"x221","302.96664_0.7092",-0.000329035704170003,0.001087316719185
"x222","197.0312_0.7039",0.00112265694176772,0.000901505000945601
"x223","147.02957_0.7053",0.0030901674771553,-0.00510296724154359
"x224","307.94691_0.7065",-0.000363028493493644,0.00098659982470826
"x225","241.01169_0.7058",-0.00075533577596764,0.000458183336867526
"x226","321.96236_0.7054",0.00119200993554599,-0.000751797371227425
"x227","335.9418_0.7071",-0.000873805987433716,0.00230652975344253
"x228","245.94641_0.9315",-0.000616799581310014,0.000839565920128809
"x229","220.00711_0.7014",0.00129926402444043,-0.000787306961919266
"x230","240.9837_0.7117",-0.000665937031023891,0.000985164480257576
"x231","273.94206_0.695",-0.000238633322246679,0.00137735630678569
"x232","166.9958_0.7143",-0.000406739085614862,0.000487266590649492
"x233","160.97569_0.453",-0.00246403537104633,0.00183649134989465
"x234","130.98329_0.4543",-0.00168701080031555,0.0018715080397173
"x235","159.97889_0.5645",-0.00590898981245196,0.011486880279712
