filename,Keep,Keep_All,Path,Species_binomial,Genus,sampleCode,speciesCode,Plot,Path_Demo,mzmine_sample_type,Count,run_date,Family
elamar_MDP0104.mzXML,Yes,Yes,UT_Box:Metabolomic_Data_2020_Method/Madidi/Madidi_mzXML/MDP0104.mzXML,Elaeagia mariae,Elaeagia,/Users/dlforrister/Downloads/Test_Panama_New_Data/mzXML_Madidi/elamar_MDP0104.mzXML,elamar,PP_Tintay_25,/Users/dlforrister/Downloads/Test_Panama_New_Data/mzXML_Madidi/elamar_MDP0104.mzXML,sample,8,,Rubiaceae
elamar_MDP0423.mzXML,Yes,Yes,UT_Box:Metabolomic_Data_2020_Method/Madidi/Madidi_mzXML/MDP0423.mzXML,Elaeagia mariae,Elaeagia,/Users/dlforrister/Downloads/Test_Panama_New_Data/mzXML_Madidi/elamar_MDP0423.mzXML,elamar,PP_Tocoaq_30,/Users/dlforrister/Downloads/Test_Panama_New_Data/mzXML_Madidi/elamar_MDP0423.mzXML,sample,8,,Rubiaceae
elamar_MDP0244.mzXML,Yes,Yes,UT_Box:Metabolomic_Data_2020_Method/Madidi/Madidi_mzXML/MDP0244.mzXML,Elaeagia mariae,Elaeagia,/Users/dlforrister/Downloads/Test_Panama_New_Data/mzXML_Madidi/elamar_MDP0244.mzXML,elamar,PP_Sumpul_34,/Users/dlforrister/Downloads/Test_Panama_New_Data/mzXML_Madidi/elamar_MDP0244.mzXML,sample,8,,Rubiaceae
elamar_MDP0479.mzXML,Yes,Yes,UT_Box:Metabolomic_Data_2020_Method/Madidi/Madidi_mzXML/MDP0479.mzXML,Elaeagia mariae,Elaeagia,/Users/dlforrister/Downloads/Test_Panama_New_Data/mzXML_Madidi/elamar_MDP0479.mzXML,elamar,PP_Tocoaq_28,/Users/dlforrister/Downloads/Test_Panama_New_Data/mzXML_Madidi/elamar_MDP0479.mzXML,sample,8,,Rubiaceae
elamar_MDP0547.mzXML,Yes,Yes,UT_Box:Metabolomic_Data_2020_Method/Madidi/Madidi_mzXML/MDP0547.mzXML,Elaeagia mariae,Elaeagia,/Users/dlforrister/Downloads/Test_Panama_New_Data/mzXML_Madidi/elamar_MDP0547.mzXML,elamar,PP_Fuerte_27,/Users/dlforrister/Downloads/Test_Panama_New_Data/mzXML_Madidi/elamar_MDP0547.mzXML,sample,8,,Rubiaceae
elamar_MDP0651.mzXML,Yes,Yes,UT_Box:Metabolomic_Data_2020_Method/Madidi/Madidi_mzXML/MDP0651.mzXML,Elaeagia mariae,Elaeagia,/Users/dlforrister/Downloads/Test_Panama_New_Data/mzXML_Madidi/elamar_MDP0651.mzXML,elamar,PP_Tocoaq_29,/Users/dlforrister/Downloads/Test_Panama_New_Data/mzXML_Madidi/elamar_MDP0651.mzXML,sample,8,,Rubiaceae
elamar_MDP0720.mzXML,Yes,Yes,UT_Box:Metabolomic_Data_2020_Method/Madidi/Madidi_mzXML/MDP0720.mzXML,Elaeagia mariae,Elaeagia,/Users/dlforrister/Downloads/Test_Panama_New_Data/mzXML_Madidi/elamar_MDP0720.mzXML,elamar,PP_Lomasa_39,/Users/dlforrister/Downloads/Test_Panama_New_Data/mzXML_Madidi/elamar_MDP0720.mzXML,sample,8,,Rubiaceae
gorfru_MDP0027.mzXML,No,Yes,UT_Box:Metabolomic_Data_2020_Method/Madidi/Madidi_mzXML/MDP0027.mzXML,Gordonia fruticosa,Gordonia,/Users/dlforrister/Downloads/Test_Panama_New_Data/mzXML_Madidi/gorfru_MDP0027.mzXML,gorfru,PP_Tintay_24,/Users/dlforrister/Downloads/Test_Panama_New_Data/mzXML_Madidi/gorfru_MDP0027.mzXML,sample,7,,Theaceae
gorfru_MDP0109.mzXML,No,Yes,UT_Box:Metabolomic_Data_2020_Method/Madidi/Madidi_mzXML/MDP0109.mzXML,Gordonia fruticosa,Gordonia,/Users/dlforrister/Downloads/Test_Panama_New_Data/mzXML_Madidi/gorfru_MDP0109.mzXML,gorfru,PP_Tintay_25,/Users/dlforrister/Downloads/Test_Panama_New_Data/mzXML_Madidi/gorfru_MDP0109.mzXML,sample,7,,Theaceae
gorfru_MDP0251.mzXML,No,Yes,UT_Box:Metabolomic_Data_2020_Method/Madidi/Madidi_mzXML/MDP0251.mzXML,Gordonia fruticosa,Gordonia,/Users/dlforrister/Downloads/Test_Panama_New_Data/mzXML_Madidi/gorfru_MDP0251.mzXML,gorfru,PP_Sumpul_34,/Users/dlforrister/Downloads/Test_Panama_New_Data/mzXML_Madidi/gorfru_MDP0251.mzXML,sample,7,,Theaceae
gorfru_MDP0428.mzXML,No,Yes,UT_Box:Metabolomic_Data_2020_Method/Madidi/Madidi_mzXML/MDP0428.mzXML,Gordonia fruticosa,Gordonia,/Users/dlforrister/Downloads/Test_Panama_New_Data/mzXML_Madidi/gorfru_MDP0428.mzXML,gorfru,PP_Tocoaq_30,/Users/dlforrister/Downloads/Test_Panama_New_Data/mzXML_Madidi/gorfru_MDP0428.mzXML,sample,7,,Theaceae
gorfru_MDP0608.mzXML,No,Yes,UT_Box:Metabolomic_Data_2020_Method/Madidi/Madidi_mzXML/MDP0608.mzXML,Gordonia fruticosa,Gordonia,/Users/dlforrister/Downloads/Test_Panama_New_Data/mzXML_Madidi/gorfru_MDP0608.mzXML,gorfru,PP_Tapuri_45,/Users/dlforrister/Downloads/Test_Panama_New_Data/mzXML_Madidi/gorfru_MDP0608.mzXML,sample,7,,Theaceae
