"","Feature","Comp1_Loading","Comp2_Loading"
"1954","473.10517_8.4454",-6.1094837494564e-05,-0.000395108782513195
"1955","573.08481_8.4468",-0.00487604689877527,0.00372285233766923
"1956","551.10283_8.4504",-0.00340616981419124,0.00245285638183208
"1957","481.16773_8.4541",0.000264548380895831,8.17541781265996e-05
"1958","717.20015_8.4585",9.09556719332501e-05,5.29645287942977e-05
"1959","259.05757_8.4682",-0.00910924537804452,-0.0316897275928871
"1960","665.11081_8.4729",0.000283557883978576,7.77833640129935e-05
"1961","633.14185_8.4738",-0.000248293726032762,-0.00110371503566098
"1962","381.13079_8.4759",-0.000172675643509923,-0.000703617320080514
"1963","623.10056_8.4759",0.000250619675796099,9.16793741093528e-05
"1964","341.04177_8.4773",6.55614046103035e-05,1.79842878231934e-05
"1965","543.18343_8.4847",0.000222383876145272,6.57611354507123e-05
"1966","579.21958_8.4847",0.000432005375120818,0.000110707171945456
"1967","1419.13968_8.4846",0.00272175128839751,0.00200975282927953
"1968","547.21477_8.4876",0.000480892807035187,0.000293780973482935
"1969","319.0448_8.4898",0.00105095550819646,0.000590856235659582
"1970","459.12596_8.4934",5.93705277861494e-05,-0.000605984773088881
"1971","771.28302_8.4934",0.000140289833558087,6.81144245590528e-05
"1972","1227.13664_8.4934",0.00215413180492375,0.00159062016725837
"1973","383.14634_8.4959",5.40039539446173e-05,-0.00031874669101787
"1974","747.21007_8.4976",-0.00122364953392252,0.00099008269057084
"1975","397.18306_8.5048",-0.000754276769011801,-0.00292585577150501
"1976","355.17254_8.5074",0.00761392020930833,-0.00198032102311615
"1977","496.10181_8.5126",-0.00164019637601044,0.00119396130834555
"1978","387.03205_8.5139",0.000157406765115546,2.51788706798335e-06
"1979","1255.20201_8.5283",0.000214657536785325,0.000136231732273206
"1980","441.17305_8.5294",0.0021428368128909,0.000521784663125396
"1981","281.06556_8.5322",0.00155746809941512,0.000977384677010417
"1982","263.05491_8.5342",0.000351671108494875,0.000223186965704392
"1983","299.07609_8.5342",0.000677881893761037,0.000430215617148651
"1984","639.09525_8.5351",0.004600989047135,0.00288449923893312
"1985","617.11327_8.5385",0.000327596046676546,0.000207907803252363
"1986","163.03885_8.5415",0.000241871241161284,-0.00117943249419239
"1987","153.0182_8.5421",0.00313632614251596,0.00214493252053869
"1988","227.03139_8.5458",6.52548769858692e-05,-0.000207957501430646
"1989","487.21479_8.5476",0.000336205343579619,-0.000297946631346711
"1990","485.06868_8.5509",-0.0396260973186928,-0.107202077089453
"1991","463.08673_8.5525",-0.0200760677876131,-0.0541620317433959
"1992","947.14761_8.5557",-0.00156147661813041,-0.00422716518719357
"1993","547.03894_8.5571",-0.000988945610169232,-0.00274451633067396
"1994","457.2407_8.5586",0.00524252179524285,0.00344104640869112
"1996","482.06043_8.5593",-0.00115125747750058,-0.00313806326304411
"1997","287.05472_8.561",-0.00786406643760076,-0.0281310448563764
"1998","309.03681_8.5614",-0.00277747697541161,0.00203907313487341
"1999","410.97547_8.5614",-0.0034486937559856,0.00253008242031838
"2000","511.08456_8.5632",0.00010325629693706,2.83244536127794e-05
"2001","1129.09743_8.5632",0.000217265159752327,7.9477933241233e-05
"2002","327.04987_8.5676",4.03151956563975e-05,1.10589467483597e-05
"2003","259.05765_8.5704",-0.00881092356707177,0.0104799232277587
"2004","511.04811_8.5752",0.00878928626391512,0.00649004668852437
"2005","481.16764_8.5777",0.00165467310493876,0.000811806314520829
"2006","397.18309_8.5898",-0.000613211157653092,0.000682940458993001
"2007","529.09483_8.5911",-0.00421508326288088,-0.00776729616704658
"2008","373.18319_8.5932",0.000935271583428694,0.000341856221707198
"2009","717.19943_8.5937",1.74922808287135e-05,-9.4840605559643e-05
"2011","507.11292_8.5964",-0.000755785299124602,-0.0013997767493274
"2012","385.16182_8.5981",0.000217556191121369,-0.000329223500188406
"2013","487.21469_8.5981",0.000310288298835686,9.76232667080032e-05
"2014","692.1307_8.5981",0.00066413568003191,-0.00048739065067329
"2015","303.04973_8.6003",0.055886936040623,0.0114899322910857
"2016","629.18315_8.6024",0.000409056520201792,-0.000795281235552853
"2018","1143.11327_8.6068",0.000293098108971905,9.82491149407345e-05
"2019","919.18934_8.6097",0.00351954768673165,-0.00109761668552232
"2020","497.08575_8.6111",-0.00203686844711995,0.00270844625059308
"2021","383.14641_8.6153",0.000197971560216128,0.000164331382565743
"2022","219.10162_8.6154",0.000167220286185913,0.00018851174025247
"2023","471.08955_8.6228",-0.0260179162572167,0.0552715829911813
"2024","395.2039_8.6245",-0.000313928701030428,0.000215963348782202
"2025","449.10756_8.6262",-0.000920781710821167,-0.000990697936936294
"2026","579.21962_8.6286",-0.000253433778076352,-0.000501921339252774
"2027","381.13041_8.633",0.000530386930121747,-0.000158918586132083
"2028","301.16206_8.641",0.000704665582998941,-0.00507647508016121
"2029","393.18812_8.6431",0.00280225258276555,0.000119035072777566
"2030","269.13576_8.6446",-0.000337428083762161,-0.00326179652898903
"2031","435.09202_8.6502",-0.00169053193178034,0.00120965227237236
"2032","457.07387_8.6524",-0.0288026513069849,0.0206883305248926
"2033","487.09963_8.6533",-0.000656368634574957,-0.00219960634495256
"2034","627.24093_8.6548",0.000247567265606689,0.000364300299936934
"2035","617.14704_8.6563",-0.00714503119691033,-0.0354532093689567
"2036","287.05487_8.6566",-0.0578220961267366,-0.047822585350208
