feature,log2FC,padj,Expression
115.00346_0.8891,0.5895703385246481,0.4618772269524568,Not significant
232.93894_0.8668,0.4418172436452446,0.4420185459612871,Not significant
216.96625_0.8668,-0.21202013143465961,0.5688920413701822,Not significant
319.94663_0.8668,1.0417548503122234,0.45388477718339815,Not significant
135.01814_0.8668,0.6282896619114481,0.49490102285214366,Not significant
331.94718_0.8662,2.4300514908305355,0.44586497868285985,Not significant
290.08765_0.8572,3.0192492786030347,0.4420185459612871,Not significant
289.0172_0.8668,0.7889741756435469,0.5321716607440475,Not significant
470.15075_0.707,0.8167555920202175,0.4420185459612871,Not significant
284.03821_0.8748,0.04528752247707057,0.7728661200166979,Not significant
314.96785_0.8861,0.1658400519972347,0.2198481412989629,Not significant
128.03507_0.878,0.14815791742149448,0.2620892318772944,Not significant
272.95743_0.8805,-0.02530922488395237,0.9071896289428704,Not significant
196.02228_0.8812,-0.1356554254111268,0.43835475541158564,Not significant
188.05601_0.8714,0.14299685389695488,0.278886302909629,Not significant
210.95741_0.8857,-0.13730626489244652,0.6767385098628317,Not significant
171.04076_0.8844,-0.216753274041682,0.5119116874391249,Not significant
268.0433_0.8889,0.12574176805801104,0.4656345230123564,Not significant
298.97287_0.8883,0.19770979120253723,0.0701668763164508,Not significant
233.94645_0.8902,0.40934659094361175,0.146154744308978,Not significant
273.02234_0.8921,0.4571372794450885,0.4587548121261318,Not significant
244.96223_0.8928,0.6268600675336263,0.13988609511444874,Not significant
173.10393_0.65,0.23986621313025205,0.5621288249864738,Not significant
200.97147_0.8853,-0.17896943924093267,0.34508526933938327,Not significant
216.94397_0.8973,0.22624501675434183,0.45342478606693387,Not significant
261.94124_0.8973,-0.06588503613479497,0.554803084692489,Not significant
199.94144_0.8973,0.01159661092902156,0.9323336357031485,Not significant
185.05634_0.9045,-0.4246512389392253,0.19221326615142031,Not significant
289.93628_0.894,-0.04073319320920058,0.9294765696484527,Not significant
236.00438_0.7031,-0.0046873885055910575,0.9798540406267942,Not significant
164.07139_0.9178,0.008741293612660154,0.9679593191679388,Not significant
230.06659_0.9204,1.3007031759812688,0.09163489740278616,Not significant
347.09793_0.9296,0.8507506325192281,0.08354463193319508,Not significant
142.05063_0.9611,0.67989926634676,0.5425802602685397,Not significant
112.98778_0.6923,-0.12887259202855994,0.26208427857672467,Not significant
161.96177_0.9417,-0.017026437525138556,0.9740906262867312,Not significant
305.96762_0.9386,1.0322058746966827,0.010520926234213747,Up-regulated
207.05065_0.9443,0.5321838214501426,0.017857278549768124,Not significant
147.02958_0.8243,0.32124451539145993,0.6208034536334776,Not significant
182.01254_0.9477,1.4901892653949955,1.9392144231966928e-4,Up-regulated
190.03534_0.9502,11.254102524570309,0.3478421252623142,Not significant
258.03791_0.9631,0.22499330999544725,0.1869077599821692,Not significant
159.97893_0.7961,-0.49414433753020987,0.024828250882144683,Not significant
172.02488_0.7094,1.8147322188686836,0.4420185459612871,Not significant
188.09246_0.9714,9.635676089986845,0.4396089045725939,Not significant
262.0927_0.7727,10.846692407826835,0.4420185459612871,Not significant
111.00855_0.6894,-0.07333623591667252,0.5052422947760606,Not significant
211.0711_0.8358,0.41075891125099573,0.3677872536457833,Not significant
242.05132_0.6576,0.9172055646922572,0.4763949963982132,Not significant
255.09827_0.9998,10.898643026359006,0.4420185459612871,Not significant
306.08287_0.8283,5.623277689211574,0.3885916920572995,Not significant
258.0614_1.0084,1.0785779569261522,0.17998829231746974,Not significant
325.05947_0.9973,-0.14804579970773077,0.8870285314224405,Not significant
364.12463_1.0096,0.8114298096241204,0.27779442342661936,Not significant
388.11724_0.7419,0.4779529956953484,0.46103901125122226,Not significant
404.10374_0.6507,-0.13086834763521898,0.6579152755592381,Not significant
277.97248_0.7662,-0.13486270303292514,0.781178331116838,Not significant
145.06153_0.7738,-0.5800223191142383,0.029221713273858235,Not significant
341.10833_0.8036,-0.4584354628480559,0.5387575454869411,Not significant
342.11164_0.6972,0.27828836250542927,0.6225791766983986,Not significant
440.02512_0.781,-0.5533251184127701,0.27305726740540065,Not significant
323.97797_0.668,0.9293985848166769,0.4324244528168706,Not significant
342.08732_1.0285,0.270337719618164,0.160302854607939,Not significant
247.92577_1.0318,0.12534444427430771,0.3827691145091004,Not significant
198.07683_1.0317,8.697097186945822,0.4420185459612871,Not significant
309.11869_0.9912,1.823303695796247,0.4251716046542198,Not significant
341.1447_1.0344,0.3465476213894002,0.25529942274465023,Not significant
480.12872_1.0331,9.988096852855747,0.4420185459612871,Not significant
137.02408_0.8194,1.2805252164802183,0.07423620493220578,Not significant
299.07675_1.0392,1.86505054372868,0.023673068585091266,Up-regulated
354.0608_1.0409,-1.3631872616207308,0.10529961492578947,Not significant
318.08262_1.0477,11.239155737830501,0.4420185459612871,Not significant
203.01956_1.067,0.07639299348348359,0.59777342583776,Not significant
338.08779_1.0723,0.8644995533680687,0.00618938928888674,Not significant
210.0074_1.0723,0.1310783718407366,0.21066098745391992,Not significant
401.04589_1.087,0.2501682633669421,0.15894120641883458,Not significant
431.9754_1.087,0.43596681309795293,0.03607404368919237,Not significant
432.9834_1.0876,0.5274859490697957,0.014117279794795549,Not significant
335.06318_1.0883,0.37906394413577643,0.03899325813964636,Not significant
333.05881_1.0883,0.35268141046926876,0.050293661599396335,Not significant
322.09279_1.0942,1.694577086546473,0.059349444158460406,Not significant
273.03769_1.1002,0.3494498271273285,0.46476258044547614,Not significant
147.06597_1.1099,0.12257284627459729,0.2094728373760421,Not significant
215.93619_1.0096,-0.1299814486070014,0.6303706177297266,Not significant
303.9519_0.8433,0.3247580837830018,0.02653241443490288,Not significant
252.99611_1.1335,0.29647780160095544,0.7081682439784079,Not significant
343.95969_1.1278,0.4351699899577103,0.08236765123749376,Not significant
259.02177_1.1283,-0.3659731424124788,0.38844199350841674,Not significant
317.05422_1.1284,0.924416424155429,0.09391752037193093,Not significant
245.04265_1.1303,0.4976800846704585,0.21530221351675946,Not significant
417.94709_1.1316,0.9766203425929398,0.5452179296391171,Not significant
214.9285_1.1309,0.7719455216659878,0.2557207018831035,Not significant
445.94189_1.1309,0.9224717412893739,0.5488497608545315,Not significant
301.93638_1.1309,0.1660829665339657,0.7720993851325633,Not significant
313.93676_1.1315,0.5620383747416976,0.44366396418994564,Not significant
218.10291_1.1315,0.5182175176206449,0.3402813160570499,Not significant
368.99434_1.1328,1.0748792770735172,0.49490102285214366,Not significant
228.98359_1.1298,0.10209042005716432,0.5481533177715455,Not significant
199.9809_1.131,-0.11486670232856833,0.4879548816668707,Not significant
375.93652_1.1321,0.3012085408705409,0.5976791268781126,Not significant
347.94158_1.1322,0.29624809051523526,0.6125156022538102,Not significant
170.93862_1.1328,0.8906511893978394,0.22810504438823212,Not significant
314.96668_1.1328,-0.21069916698771296,0.4992450423294182,Not significant
212.98021_1.1328,0.30469662549716037,0.5221853409219631,Not significant
231.01416_1.1328,0.9635979349576728,0.5485693670415811,Not significant
117.00761_1.1334,0.6201395197774563,0.5673933811728428,Not significant
384.972_1.1328,-0.003974890454903827,0.9966796214129482,Not significant
275.15098_1.1379,6.457166352544539,0.03460637855705413,Up-regulated
376.85307_1.1298,0.17844363921304027,0.4420185459612871,Not significant
234.9621_1.1341,0.05408254909692645,0.801206456525418,Not significant
515.94715_1.1329,1.7034530036945394,0.5221853409219631,Not significant
330.93904_1.1334,-0.16789833622920222,0.7828450437220776,Not significant
215.92794_1.1334,1.0387487649878646,0.20984235185697392,Not significant
115.00346_1.1347,0.5574098383477055,0.5735058969745211,Not significant
400.9442_1.1322,0.36711068139821507,0.7961894801478117,Not significant
244.96122_1.1288,-0.41819242288929626,0.06436429605778964,Not significant
