feature,log2FC,padj,Expression
289.93628_0.894,0.005895338986412127,0.9894219717963936,Not significant
236.00438_0.7031,-0.3038264046621942,0.30909580172761164,Not significant
164.07139_0.9178,-0.5796704143209299,0.03315263707004076,Not significant
230.06659_0.9204,-0.22164475319496488,0.4859153394866903,Not significant
347.09793_0.9296,0.22138015361871638,0.1505939387397885,Not significant
142.05063_0.9611,0.45374275870474234,0.5185861647769371,Not significant
112.98778_0.6923,-0.1863547734920266,0.05891825404413063,Not significant
161.96177_0.9417,-0.4405050574714522,0.37348744005798806,Not significant
305.96762_0.9386,0.3760665671614682,0.1700189482462273,Not significant
207.05065_0.9443,0.31851075876967916,0.10615557458998891,Not significant
147.02958_0.8243,0.5096226072672079,0.06435096198238305,Not significant
182.01254_0.9477,-0.059174619490701644,0.7862227374987633,Not significant
190.03534_0.9502,9.367245352587439,0.05487613747042971,Not significant
258.03791_0.9631,0.4810108379061559,0.0023670026089308,Not significant
159.97893_0.7961,-0.22504672341576556,0.24489582856004763,Not significant
172.02488_0.7094,-1.5005676770527023,0.28087421186664857,Not significant
188.09246_0.9714,-0.018914746571133276,0.7088924718828387,Not significant
262.0927_0.7727,5.350319003913926,0.534974011909757,Not significant
111.00855_0.6894,-0.17280464620867472,0.05034632475372823,Not significant
211.0711_0.8358,-0.7893953650158451,0.24186101926793074,Not significant
242.05132_0.6576,1.4109822291576544,0.001214009832304068,Up-regulated
255.09827_0.9998,-0.018914746571133276,0.7088924718828387,Not significant
306.08287_0.8283,2.61445023210497,0.03455679462338712,Up-regulated
258.0614_1.0084,-0.9385241719929247,0.36388215666259044,Not significant
325.05947_0.9973,-4.055369788058517,0.04087718423638653,Down-regulated
364.12463_1.0096,0.13276845046781086,0.448392396835305,Not significant
388.11724_0.7419,-0.24206891226764887,0.7710310389632656,Not significant
404.10374_0.6507,0.4358597741174523,0.013056551938770328,Not significant
277.97248_0.7662,-0.5077930966266697,0.425542045078513,Not significant
145.06153_0.7738,-1.992717692172549,4.813471141111829e-4,Down-regulated
