Feature,Comp1_Loading,Comp2_Loading
212.98021_1.1328,0.009033803064396717,-0.05102128945493255
231.01416_1.1328,0.01626690880379415,-0.03466267907007219
117.00761_1.1334,0.015034204811666908,-0.037403675658107434
384.972_1.1328,-9.25661430070921e-4,-0.045174968747488053
275.15098_1.1379,0.03728712890551786,-0.01285888453772728
376.85307_1.1298,0.004672525135398212,0.02794213714004188
234.9621_1.1341,-0.004888344670921529,-0.0576233277202082
515.94715_1.1329,0.01778873627641112,-0.031024828580641744
330.93904_1.1334,-0.003409489802428556,-0.04846727316486093
215.92794_1.1334,0.02269474909411554,-0.041018054897866724
115.00346_1.1347,0.014804407085829882,-0.036992294302327054
400.9442_1.1322,0.008250568224947174,-0.041448255571908114
244.96122_1.1288,-0.02551156170355809,0.028621052766799316
331.85584_1.1348,-0.017137225551517223,-0.004213349893977933
305.93112_1.136,5.82612784924674e-4,-0.05128954827809975
289.03249_1.1391,-0.0015702906102115837,0.02908524667131429
182.99063_1.1368,-0.03096945849641168,-0.019877666117017887
311.89709_1.1392,0.010432516437252631,-0.04115388875253499
241.01151_1.1488,0.03172755737260699,-0.03750898124666251
129.0191_0.9357,0.019133396384953427,-0.010647502539572274
110.98504_1.1649,0.013129482580212022,-0.006674479843337156
173.05787_1.1602,0.014746295461062877,0.05113184969224337
185.02156_1.1762,0.029526633463413,-0.0187815971117343
275.84455_1.1713,0.013749205416150594,-0.027435623513914098
277.84159_1.1713,0.012618221382833443,-0.028676891925408857
288.07183_1.1775,0.019224851011883537,-0.023303542518017265
285.87335_1.1781,0.011269545454906474,-0.04695995179763355
323.02798_1.1905,0.02852455024220894,-0.03499305157972903
270.0378_1.2036,0.020504548560260228,0.04919255103295422
334.89946_1.1974,-0.003057543365221444,0.020337101309384296
174.8389_1.2036,-0.017466874900367097,-0.022343203764839788
172.84188_1.203,-0.017940558166283874,-0.022064657716128096
172.0611_1.2036,0.012144151342080498,0.06602489812164913
260.02491_1.1504,-0.008865017971834534,-9.33580025907314e-5
281.96108_1.2042,-0.020168040689784086,0.05623295216434732
154.89813_1.2006,-0.023053510181677117,-0.009025591988009394
439.6832_1.2005,-0.015726874964908398,-0.026938838267740912
176.83599_1.1981,-0.0076440570917290064,-0.013569892931807334
230.01948_1.2055,0.0016995573777350756,0.0667644044185345
174.06481_1.2061,0.01418547700228098,0.06304570288769178
344.92806_1.2073,0.012099169250554435,0.05718217479022203
171.98795_1.2061,0.007431513135932006,0.05173810159460998
232.01679_1.2018,0.01201200322212204,0.005351191907810045
441.68016_1.2023,-0.01343210024205052,-0.029177504739278253
443.6772_1.2042,-0.011877310608460642,-0.028630995683704898
332.90248_1.1993,0.004525916762975885,0.032718561691780154
445.67422_1.203,-0.013742664849539976,-0.029972568501770054
342.93108_1.2086,0.012329639731535542,0.06251285557008086
336.89648_1.2018,0.018278146751548333,0.03969449976297619
411.65198_1.2086,0.015303327826296363,-0.034834216830047476
437.68635_1.2061,-0.017325184081378786,-0.02667264151685468
413.64903_1.208,0.020671524055721594,-0.025404413866887087
418.60442_1.2117,-0.009264070192565255,-0.01370477630102324
416.60747_1.2142,-9.671119871088908e-5,-7.194266370283677e-4
420.60146_1.213,0.008495125013000574,-0.014401371449336495
352.95994_1.2174,0.009367970076871901,0.055897406240126284
324.96502_1.2187,0.00883154235905244,0.058489051261762584
225.01649_1.2274,0.01724143555137281,-0.03892991244239851
334.9939_1.2345,0.012795420656957305,0.04980054812185326
362.98883_1.2339,0.012654233439754073,0.05047218874899649
240.04844_1.2339,0.00788419508431271,0.04316069258586064
483.63306_1.2494,-0.00966214630328933,-0.011577189490086745
329.08721_1.2403,0.04112210312078297,-0.002695024717074138
479.98343_1.2629,0.024516696229474406,-0.018222856412388282
521.94903_1.2674,0.03768952047300164,-0.007332436585673163
485.63018_1.249,-0.010539083178075273,-0.016283944554033956
239.75988_1.268,0.001047836353221112,-0.02340469513615429
241.75743_1.268,0.002106762734368168,-0.02466026470769598
243.75451_1.268,0.0019167111836732608,-0.023006231011093847
510.91243_1.2648,0.03481251360910785,-0.00786621123000981
424.01973_1.2699,0.037743662940601864,-0.0038389097490599583
422.02484_1.2705,0.03747328247281277,-0.0030966446585942655
520.94133_1.2661,0.03690296246557225,-0.0037043954936535487
245.75172_1.2667,0.0016357032935314939,-0.023793462964042143
152.9859_1.2737,0.03721677521282919,-0.0035168706934315982
490.01237_1.2661,0.03402433055065339,-0.00496310770263958
845.05653_1.2693,0.0375613805754475,-0.004739285756162914
