Feature,Comp1_Loading,Comp2_Loading
128.03504_0.6174,0.012509657881753778,0.005081766265517411
168.02737_0.6179,-0.0012802896085703631,-0.0018662071108858631
353.03621_0.6185,-6.813345940498561e-4,-5.894564732656964e-4
102.0558_0.6185,8.557281599095878e-4,-0.0017782180628809607
331.0543_0.6202,-0.0017239186073465915,0.002154329502404637
146.04549_0.6197,0.025449781788237927,-0.04186872426579836
315.0805_0.6202,-0.002088333158803107,-0.0027513154609249448
214.02037_0.6215,-0.001141666569766715,-7.680514372921854e-4
172.02234_0.6004,-6.627115592525017e-4,-0.0015446813532942823
227.96012_0.8831,0.002383016771135383,0.007663576073833714
318.07589_0.6384,-0.017226721643255543,-0.015534767772199365
340.94568_0.4891,6.648255757701648e-4,-0.0011357463395730736
302.10042_0.6396,0.02072974888700518,-0.01252566742182274
461.15063_0.6407,0.0074812635659960705,-0.011796633221110742
143.04582_0.6418,0.013626374599843142,-0.006905553648503291
488.16127_0.6424,0.004290605995804584,-0.03332568442562527
132.02988_0.6434,-0.011416585955687623,-0.0061355970529046195
549.16623_0.6434,0.03649667447053129,-0.047054053863373954
168.04266_0.6451,-6.63255778949968e-4,0.004463450778120072
228.06383_0.6451,-4.842335839061271e-4,0.0047745390430018915
503.16062_0.6435,0.010776679726999357,-0.014074704506082373
211.03316_0.6463,2.179111885020966e-4,0.0010614305171515429
225.06112_0.6467,0.026413590581124743,-0.04463379304805626
499.17715_0.6468,0.0011624181219160724,-0.005608701821511834
474.14551_0.6473,-0.006181717546308332,-0.012353333663529018
323.10892_0.649,0.01639052175390119,-0.0261831135499332
485.16146_0.649,0.02959543205516512,-0.049858181598683035
278.98089_0.6496,0.0029117413068775458,-0.00513001322069506
473.16144_0.6496,0.01199511181928518,-0.013295544397561221
459.04406_0.6502,0.0015105844580694872,-0.006558319637345825
487.17744_0.6502,0.029307244618965188,-0.033489381696405376
683.22402_0.6507,0.00615801383128331,-0.018120323909879076
341.10826_0.6513,0.11428603180273615,-0.32983332521939973
387.11384_0.6513,0.0964901106311031,-0.34908632020798847
389.11859_0.6513,0.003376857084937987,-0.011284845881467002
446.15071_0.6513,0.006750378214794233,-0.017049098421313146
377.08497_0.6518,-0.0020649993157715713,-0.013140336062452004
439.08518_0.6518,0.003322776278626349,-0.011852661238580857
460.16661_0.6531,0.00403547436091353,-0.011239691744762376
471.07523_0.6535,8.588576250521091e-4,-0.008647421078283096
114.05577_0.6388,0.011779394310062303,-0.014354792420968009
143.03462_0.6547,0.009983241028359192,-0.01970120667716091
574.08268_0.6552,0.002051102460746884,-0.0074689923491508235
181.07134_0.6543,-0.001685083798153858,-0.003707484449489816
455.1014_0.6559,5.226645331880489e-4,-0.011271532485956819
161.04515_0.6564,0.013219275236887486,-0.024994890744077177
179.05564_0.6564,0.0763104904611278,-0.14216819627152788
215.03231_0.6564,0.0026302853927730268,-0.0082429426882333
113.0242_0.6571,0.017125912737170415,-0.03313876822362544
101.02417_0.6576,0.014128957173596019,-0.02525376123698203
412.03015_0.6586,0.005860223262219819,-0.011919262559738911
440.02508_0.6607,-0.0023143962257965445,8.222531568494709e-4
242.07891_0.6798,0.014157424107754274,-0.0058508777821598985
308.09804_0.6712,0.006339839882300192,-0.008455206600120134
297.1185_0.6647,0.0010868692122054744,-0.0018729914320157626
367.10454_0.6647,0.004256042943334264,-0.014150863055870627
277.97247_0.6658,0.0014494432372331386,-0.006994510683761532
228.03599_0.6391,0.002060367797600033,-0.0025971703562453407
261.97803_0.6671,4.98790574029844e-4,-0.001745105818202553
515.12446_0.6798,-2.5538733496475687e-4,-0.0015402139133819993
167.02062_0.6798,0.007746952356388245,0.008538304774947091
195.05053_0.6829,0.01642888358479532,-0.011080201682822876
175.02436_0.687,2.9757635290196516e-4,-5.572909330181955e-4
149.04512_0.6876,0.008611551943550502,-0.009124296389697086
209.06623_0.6876,0.021559024885140356,-0.027290676169190186
267.07173_0.8085,0.0013533893444102065,-0.0016895253093585363
191.01935_0.6994,-0.0038315340737535837,0.002555322966790614
145.01392_0.6887,0.002154362481224708,0.001417525151616237
129.01909_0.6888,-0.0014124566894735443,0.007949423470314803
165.04002_0.6888,0.011021006280597535,-0.010144296272014078
135.02961_0.6888,0.18453142915715512,-0.17766758432768884
219.01417_0.6899,-0.0010843854127823673,0.004912459073789716
133.01394_0.8668,0.1289093099345929,-0.5213608551737567
254.01493_0.7102,-0.006522068299479722,0.008919527655477405
183.01547_0.6895,0.004154727389500208,0.003279203810155929
173.04505_0.6888,-0.0010543866544489085,-0.0019588127161279667
173.00869_0.6923,-0.004981248121158151,0.02170367221528966
228.99296_0.6922,-0.0012162593853760936,4.1142295118736075e-4
226.99604_0.6911,-0.0034981282517754747,0.002235651934945115
203.00446_0.6922,0.0013375166829500528,-0.0010662711554609388
435.95743_0.6911,-3.7214241796966154e-4,0.0012878891226537823
205.03491_0.6929,3.399890124077773e-4,0.0010217152095836767
290.94485_0.6888,4.508073789006699e-5,5.181649376107582e-4
163.0245_0.7313,1.0943658069651552e-4,-2.3873622468693233e-4
368.00414_0.6964,0.0019098407736273723,-0.0024007235466768292
234.95456_0.8346,0.0010470897434300295,-8.762903796107546e-4
175.04685_0.8346,4.168403081593218e-4,0.0011646380927108364
293.04888_0.6916,0.0019922988997361562,-0.002176259282373739
142.99824_0.6948,-0.002958388268793238,0.027782596625304877
124.98775_0.6942,-2.9530969065284075e-4,0.0016835125549903255
289.93673_0.6009,-8.459636247085788e-4,0.005390022896278779
347.02503_0.6942,-0.0016896616037244596,0.004943298117982576
268.03056_0.7032,-1.4150103664458817e-4,6.468138461316829e-4
302.96664_0.7092,-3.2903570417000316e-4,0.001087316719184995
197.0312_0.7039,0.0011226569417677164,9.015050009456014e-4
147.02957_0.7053,0.0030901674771553022,-0.005102967241543585
307.94691_0.7065,-3.6302849349364406e-4,9.8659982470826e-4
241.01169_0.7058,-7.553357759676397e-4,4.581833368675264e-4
321.96236_0.7054,0.0011920099355459918,-7.517973712274247e-4
335.9418_0.7071,-8.738059874337163e-4,0.0023065297534425274
245.94641_0.9315,-6.167995813100137e-4,8.395659201288091e-4
220.00711_0.7014,0.001299264024440426,-7.873069619192663e-4
240.9837_0.7117,-6.659370310238914e-4,9.851644802575763e-4
273.94206_0.695,-2.386333222466792e-4,0.0013773563067856934
166.9958_0.7143,-4.0673908561486235e-4,4.8726659064949235e-4
160.97569_0.453,-0.0024640353710463254,0.0018364913498946488
130.98329_0.4543,-0.0016870108003155504,0.0018715080397173015
159.97889_0.5645,-0.0059089898124519554,0.011486880279711958
226.96558_0.4865,-0.0024494274574748654,-0.010315860087139759
272.93333_0.7335,-3.4853408418660664e-4,-5.748858932324753e-4
355.0877_0.735,-0.0023749292922814196,-0.0010945333345127766
335.97831_0.7463,0.001198166524875375,-0.0011963641898002039
380.00459_0.6981,6.567638957617163e-4,-9.548363889930671e-4
517.14046_0.7948,1.4968842788619749e-5,-5.955499614237776e-5
274.97222_0.8049,6.097088900828334e-5,2.0567122211589422e-4
203.01686_0.7152,0.0023538311383506966,-0.0018200702117405854
105.01908_0.6905,6.790454531801213e-4,-0.004901117807764112
262.05635_0.8216,0.0011666288816644139,-0.0010765334943955273
136.03292_0.7978,0.005808748172084962,-0.005697817788735602
132.04118_0.8346,4.4166763483214803e-4,0.0013704046583599713
307.98324_0.817,4.237177117149805e-6,-1.1855639589651465e-4
210.06961_0.7918,0.0012827112577894642,-0.0015350574990379753
287.95723_0.8371,6.705266608566735e-4,-0.0015429147442707163
270.98561_0.7125,2.1125354465812804e-4,0.0018372677235006388
309.11867_0.8475,0.026908093251747894,-0.031707884099090936
217.95184_0.7829,7.431519511764259e-4,-5.406383531705314e-4
163.02451_0.8345,0.0010741366015361142,-0.0022449455630497136
237.06118_0.8515,3.7984833219143724e-4,-2.0523600929709036e-4
337.07717_0.8578,0.007747127388287216,-0.009350647625167926
286.10394_0.746,-6.361086156857192e-4,0.008586822354876136
173.05626_0.7311,0.0027260202370842273,0.0012267813470254892
