term_level,term,subsetcount,totalcount,foldenrichment,pval,fdr,comp
NPC_class,RiPPs,1,1,37.369565217391305,0.34997750529792027,0.782844419745348,ctrl_vs_sl1.up
NPC_class,Simple coumarins,2,14,5.338509316770186,0.8464853644789554,0.9455675829465742,ctrl_vs_sl1.up
NPC_class,Simple indole alkaloids,1,2,18.684782608695652,0.4760147307964929,0.7933578846608216,ctrl_vs_sl1.up
NPC_class,Simple phenolic acids,6,16,14.01358695652174,0.24157785015113573,0.782844419745348,ctrl_vs_sl1.up
NPC_class,Steroidal alkaloids,3,5,22.421739130434784,0.18908380020983742,0.782844419745348,ctrl_vs_sl1.up
NPC_class,Taxane diterpenoids,3,3,37.369565217391305,0.0910232580512212,0.782844419745348,ctrl_vs_sl1.up
NPC_class,Tetraketide meroterpenoids,2,3,24.913043478260867,0.24979340768037583,0.782844419745348,ctrl_vs_sl1.up
NPC_class,Thiodiketopiperazine alkaloids,1,4,9.342391304347826,0.6596284905216518,0.8495215408233395,ctrl_vs_sl1.up
NPC_class,Tricyclic guanidine alkaloids,2,4,18.684782608695652,0.3291784824949533,0.782844419745348,ctrl_vs_sl1.up
NPC_class,Wax monoesters,1,1,37.369565217391305,0.34997750529792027,0.782844419745348,ctrl_vs_sl1.up
NPC_class,Yohimbine-like alkaloids,1,1,37.369565217391305,0.34997750529792027,0.782844419745348,ctrl_vs_sl1.up
NPC_class,4-pyrone derivatives,1,2,18.684782608695652,0.24773028324213364,0.5736911822449411,ctrl_vs_le1.up
NPC_class,Aminoacids,29,162,6.6896135265700485,0.0024962424361775703,0.10983466719181309,ctrl_vs_le1.up
NPC_class,Aminosugars,4,14,10.677018633540373,0.07246753835467071,0.3985714609506889,ctrl_vs_le1.up
NPC_class,Carboline alkaloids,1,33,1.1324110671936758,0.961390544818642,0.9837484644655872,ctrl_vs_le1.up
NPC_class,Cholane steroids,1,2,18.684782608695652,0.24773028324213364,0.5736911822449411,ctrl_vs_le1.up
NPC_class,Cinnamic acids and derivatives,2,37,2.019976498237368,0.8817818302541831,0.946302451980099,ctrl_vs_le1.up
NPC_class,Cyclamides,1,9,4.152173913043478,0.613536509749717,0.7705029446079944,ctrl_vs_le1.up
NPC_class,Cyclic peptides,4,31,4.8218793828892,0.3918607641884009,0.6157812008674871,ctrl_vs_le1.up
NPC_class,Depsipeptides,2,21,3.559006211180124,0.6304115001338135,0.7705029446079944,ctrl_vs_le1.up
NPC_class,Dicarboxylic acids,2,11,6.794466403162056,0.3317318946000497,0.6157812008674871,ctrl_vs_le1.up
NPC_class,Dimeric phloroglucinols,1,1,37.369565217391305,0.1728100027729459,0.5736911822449411,ctrl_vs_le1.up
NPC_class,Dipeptides,3,16,7.00679347826087,0.24344816242739492,0.5736911822449411,ctrl_vs_le1.up
NPC_class,Disaccharides,3,15,7.473913043478261,0.21852080244964692,0.5736911822449411,ctrl_vs_le1.up
NPC_class,Fatty acyl glycosides of mono- and disaccharides,1,5,7.473913043478261,0.43435902570233187,0.6370599043634201,ctrl_vs_le1.up
NPC_class,Fatty alcohols,1,1,37.369565217391305,0.1728100027729459,0.5736911822449411,ctrl_vs_le1.up
NPC_class,Furofuranoid lignans,2,3,24.913043478260867,0.06779721180185208,0.3985714609506889,ctrl_vs_le1.up
NPC_class,Glucosinolates,7,56,4.671195652173913,0.3420605501649589,0.6157812008674871,ctrl_vs_le1.up
NPC_class,Glycerophosphates,1,8,4.671195652173913,0.5748901607246889,0.7665202142995852,ctrl_vs_le1.up
NPC_class,Glycerophosphoethanolamines,1,5,7.473913043478261,0.43435902570233187,0.6370599043634201,ctrl_vs_le1.up
NPC_class,Halogenated fatty acids,7,53,4.935602953240362,0.29656561968095374,0.6157812008674871,ctrl_vs_le1.up
NPC_class,Hydroxy fatty acids,2,8,9.342391304347826,0.22707301949943445,0.5736911822449411,ctrl_vs_le1.up
NPC_class,Imidazole alkaloids,5,81,2.3067632850241546,0.9035596505432426,0.9465863005691113,ctrl_vs_le1.up
NPC_class,Iridoids monoterpenoids,2,6,12.456521739130434,0.15876424607211118,0.5736911822449411,ctrl_vs_le1.up
NPC_class,Lipopeptides,2,3,24.913043478260867,0.06779721180185208,0.3985714609506889,ctrl_vs_le1.up
NPC_class,Menthane monoterpenoids,2,18,4.152173913043478,0.552567209052824,0.759779912447633,ctrl_vs_le1.up
NPC_class,Monosaccharides,11,44,9.342391304347826,0.008412103425502674,0.18506627536105882,ctrl_vs_le1.up
NPC_class,Open-chain polyketides,1,14,2.669254658385093,0.760228252684557,0.8576934132851411,ctrl_vs_le1.up
NPC_class,Oxygenated hydrocarbons,5,14,13.346273291925465,0.02331499755347681,0.3419532974509932,ctrl_vs_le1.up
NPC_class,Penicillins,1,3,12.456521739130434,0.3159009888942774,0.6157812008674871,ctrl_vs_le1.up
NPC_class,Phenylalanine-derived alkaloids,1,3,12.456521739130434,0.3159009888942774,0.6157812008674871,ctrl_vs_le1.up
NPC_class,Pinane monoterpenoids,1,4,9.342391304347826,0.3779269331673838,0.6157812008674871,ctrl_vs_le1.up
NPC_class,Polyamines,2,22,3.397233201581028,0.6539207409248862,0.7776354756944592,ctrl_vs_le1.up
NPC_class,Polysaccharides,2,2,37.369565217391305,0.04321816628570273,0.38031986331418405,ctrl_vs_le1.up
NPC_class,Purine nucleosides,1,9,4.152173913043478,0.613536509749717,0.7705029446079944,ctrl_vs_le1.up
NPC_class,Pyrimidine nucleosides,2,18,4.152173913043478,0.552567209052824,0.759779912447633,ctrl_vs_le1.up
NPC_class,Pyrrole alkaloids,1,15,2.491304347826087,0.7820954360397253,0.8603049796436979,ctrl_vs_le1.up
NPC_class,Quinazoline alkaloids,2,2,37.369565217391305,0.04321816628570273,0.38031986331418405,ctrl_vs_le1.up
NPC_class,Simple coumarins,1,14,2.669254658385093,0.760228252684557,0.8576934132851411,ctrl_vs_le1.up
NPC_class,Simple indole alkaloids,1,2,18.684782608695652,0.24773028324213364,0.5736911822449411,ctrl_vs_le1.up
NPC_class,Simple phenolic acids,4,16,9.342391304347826,0.09975056991002437,0.48766945289345254,ctrl_vs_le1.up
NPC_class,Thiodiketopiperazine alkaloids,1,4,9.342391304347826,0.3779269331673838,0.6157812008674871,ctrl_vs_le1.up
NPC_class,Tripeptides,1,4,9.342391304347826,0.3779269331673838,0.6157812008674871,ctrl_vs_le1.up
NPC_class,Vancomycins and Teicoplanins,1,2,18.684782608695652,0.24773028324213364,0.5736911822449411,ctrl_vs_le1.up
