id,log2FC,padj,pval,Expression
2356,-0.08246087310049936,0.9271772724691442,0.7820867045260379,Not significant
2357,-1.4520971874905657,0.5420168115306884,0.3453577873063133,Not significant
2366,0.01067623374911978,1,0.955624213969785,Not significant
2367,-0.09031994253137493,0.5420168115306884,0.35181354045269253,Not significant
2368,0.24370654053826366,0.2606743169020915,0.1166134669562003,Not significant
2370,0.021818042700765743,0.9639644310842067,0.8366695352982177,Not significant
2373,0.015508809305909102,1,0.9313032545240103,Not significant
2376,0.16811250580450782,0.4844179879673952,0.2883808858834843,Not significant
2384,-0.05295269511653611,0.8984728192886764,0.7390579211600863,Not significant
2389,-0.08004697695738565,0.932526358286776,0.7902155861703765,Not significant
2406,0.2720701384886138,0.01994475594939631,0.002406348271329224,Not significant
2408,-0.3847091788529535,0.5420168115306884,0.35086395642940027,Not significant
2409,0.01861930271507063,1,0.9133003009907825,Not significant
2411,0.4528347001575213,0.2121421008437304,0.08712758766473162,Not significant
2412,0.5584098442322798,0.0638667442508437,0.015753053846630442,Not significant
2415,-0.04795037579034225,0.6735581622276907,0.4784261291913964,Not significant
2417,0.02426438432583074,0.9706944732050976,0.8458989650152625,Not significant
2422,0.4431274790794134,0.34859047278013294,0.1792635124709933,Not significant
2423,-0.19799569022412672,0.37959510225062404,0.20492394118009255,Not significant
2428,-0.15225343838896702,0.770392502193301,0.585932594404563,Not significant
2430,0.2918988866830932,0.30832312102631326,0.14990005730690767,Not significant
2434,-0.012831817319008924,1,0.9190551729794648,Not significant
2435,0.07416778258447373,0.867861951383382,0.7037810123492929,Not significant
2439,-0.7077519739228485,0.020045758917271263,0.0024372097810992986,Not significant
2440,-0.13230542412026616,0.20943065889625576,0.08552665651260706,Not significant
2448,-0.035733815165761115,0.825895457870512,0.6493041397629125,Not significant
2451,-0.005368481471671863,1,0.9818973343903152,Not significant
2453,-0.005622147601389729,1,0.9839574879973851,Not significant
2454,-0.008207007967153445,1,0.9124139202767098,Not significant
2460,-0.1567305990081297,0.6993046655729526,0.5052567740788872,Not significant
2463,-0.0442433018612287,0.6809639414911417,0.48606326713765613,Not significant
2467,-0.04027195664879866,0.7168182973867637,0.5262505475870249,Not significant
2468,-0.04585725595722145,0.6787587643256875,0.48403480761492323,Not significant
2469,-0.06836185008607519,0.5420168115306884,0.34993120742298567,Not significant
2474,0.28535410024321456,0.5875724127603404,0.3965002901698632,Not significant
2475,-1.7876154423324632e-4,1,0.9985239669176948,Not significant
2476,-0.22130001495659038,0.10124370465992685,0.0316276145447241,Not significant
2478,0.23463344499863778,0.27183976286588607,0.12345019438398183,Not significant
2479,-0.21281396181629353,0.5161884062941501,0.3164994649412648,Not significant
2490,1.194203267752339,0.08097984327160151,0.022423737869274183,Not significant
2495,0.043271625649052646,0.7400284056753182,0.552761182598667,Not significant
2498,-0.18924823743458105,1,0.9276830431675374,Not significant
2499,-0.08644563536144463,0.6670173584803861,0.4704021697061336,Not significant
2507,-12.63415874105103,0.5420168115306884,0.3506166628202075,Not significant
2512,0.12822127830310373,0.7187465984936927,0.5292395034505684,Not significant
2518,0.15209700195147713,0.7579244867714469,0.5708268177421931,Not significant
2526,0.013595440000150323,0.9812767247119023,0.8568332540968967,Not significant
2531,0.23260546559835368,0.24892024392026502,0.10889355638629394,Not significant
2537,0.32352831929089676,0.28675952584847114,0.1333298809998264,Not significant
2541,0.13776506091475763,0.7056986823088152,0.5132364485249268,Not significant
2542,2.688577096835903,0.2000003533523223,0.07993033318967156,Not significant
2548,0.08392148893706877,0.37812705162817,0.2028116006987625,Not significant
2549,0.08010984260972324,0.4146289619090465,0.22986701611362495,Not significant
