id,log2FC,padj,pval,Expression
2716,11.476613318013229,0.008265354325677734,0.0018320827506192329,Up-regulated
2717,9.276415241892678,0.4291657356631084,0.3180669850115184,Not significant
2718,0.21187078493083064,0.22541417703466574,0.12614801530386763,Not significant
2719,0.029151428359063612,0.9741896601512253,0.9611551271765435,Not significant
2720,1.4809290883808615,0.15628179957031896,0.07809544260087492,Not significant
2722,0.755401520425538,0.004665362098917278,8.657652760643465e-4,Not significant
2723,1.1782166427892853,0.10717700405046317,0.049192935541486585,Not significant
2725,0.4593208236289957,0.4571918960598219,0.3745563370152164,Not significant
2726,0.7977002652827468,0.29586623843472964,0.18467974045402263,Not significant
2727,9.45532722030456,0.43163659819767924,0.3226130227712224,Not significant
2728,0.5897426761827087,0.2974176037214011,0.18599413845288318,Not significant
2729,0.8500097671157316,0.1422687483738499,0.06927221779459707,Not significant
2732,1.5394589955553317,0.07268305728621467,0.030104907962643892,Not significant
2734,1.321646290991381,0.015818490083256684,0.004251391750124833,Up-regulated
2735,0.8894828518357706,0.024880546797210044,0.0077724570274006945,Not significant
2736,9.210762650708906,0.4333038700970846,0.32441075091038274,Not significant
2737,5.041019699117132,0.4024314020870743,0.29005963187078826,Not significant
2740,0.04515112919090289,0.9443543107889398,0.9212810815550042,Not significant
2743,0.4733762588538166,0.28838830903875184,0.17833436446084538,Not significant
2745,0.38435175481191514,0.007711624524222182,0.0016688332303726886,Not significant
2746,8.878050912728536,0.43516970641728286,0.3506166628202075,Not significant
2750,9.626576025607758,0.43516970641728286,0.33185721507568833,Not significant
2751,2.9406589674454486,0.4560151069056485,0.3726334280668371,Not significant
2753,10.295912393381585,0.43516970641728286,0.3506166628202075,Not significant
2754,9.302067672526519,0.43516970641728286,0.3506166628202075,Not significant
2756,-0.02530665659518888,0.952033627632355,0.9320957506138763,Not significant
2758,1.8332441572513032,0.03238002797664077,0.01083101575716605,Up-regulated
2759,-0.5877247239777922,0.15254187115163842,0.07551665639909498,Not significant
2760,1.289488734060611,0.08436640929459589,0.036514606466072914,Not significant
2761,0.04491376023654445,0.948353319179218,0.9271435652679638,Not significant
2762,2.449731200565128,0.16842317942780413,0.08651405900799944,Not significant
2763,0.2659771962785516,0.5859833642973385,0.5147627664652044,Not significant
2764,0.0606946370574195,0.9343687822002966,0.9050168832830099,Not significant
2765,0.3142588362086135,0.15851089400865062,0.07985481920389263,Not significant
2766,0.21577394071955314,0.24584708350837317,0.14258844808484472,Not significant
2767,0.8481815040928083,0.007812681630826868,0.0016952473812090877,Not significant
2768,2.3437623763197526,5.139012301271245e-4,4.522469218506196e-5,Up-regulated
2769,0.0059886456679514545,0.9741896601512253,0.9604072044878476,Not significant
2770,-0.45968202702832106,0.20585997315938054,0.11158631679914242,Not significant
2771,14.672832755178492,0.17497122398277226,0.09059010433081287,Not significant
2772,0.16558131526796693,0.35563834797103844,0.2410230805039324,Not significant
2773,0.05404729265741198,0.7913959916182794,0.7352294349123865,Not significant
2774,-0.45017134184320273,0.00947135187032859,0.0021933258041653874,Not significant
2775,0.4496859391678256,0.05251375859131326,0.02040674272192976,Not significant
2777,1.5328094904219007,0.02283319028277977,0.006867224768002991,Up-regulated
2778,1.108378220571483,0.04700753523182561,0.017573506071080772,Up-regulated
2779,15.168921802782503,0.43516970641728286,0.3506166628202075,Not significant
2781,9.214926187942435,0.43516970641728286,0.3506166628202075,Not significant
2782,4.965592287689717,0.08436640929459589,0.036439701139227856,Not significant
2783,1.3377897303164679,0.005571972466352357,0.0010891115466517695,Up-regulated
2784,1.8680431246475293,0.011986654237425873,0.002990732982818677,Up-regulated
2785,0.9219609302924675,0.009477025981927139,0.0022162678561574813,Not significant
2786,-3.781649425559343,3.176146371030315e-4,2.2911119837565972e-5,Down-regulated
2787,1.0737521026649859,0.009656897226332086,0.002275185210392376,Up-regulated
2788,-0.0017557090708350126,0.998786230143362,0.9935569828651245,Not significant
2789,-1.0115981001918846,0.5043382421700207,0.42541620194678886,Not significant
2790,0.514052755093946,0.018623571007433358,0.005286970710661709,Not significant
2791,0.40800816473846047,0.5370268352540335,0.4629864862399521,Not significant
2792,11.302810255067474,0.12820559777049784,0.061156829652011774,Not significant
2793,0.03294594262689279,0.809123293246661,0.7540520743345845,Not significant
2794,10.89498823978167,0.2711160515821109,0.1646568690236904,Not significant
2795,0.5897408159036686,0.02743762301985531,0.00884260800058164,Not significant
2796,0.8816475765949768,0.005473741276256983,0.0010635425167363772,Not significant
2797,5.016867569686127,0.008330179344734165,0.0018656888003040452,Up-regulated
2802,2.3894920852261876,0.09695231029609472,0.04354111899277785,Not significant
2804,0.7406652578517608,0.318098239915559,0.2057742834783862,Not significant
2805,1.5836109394223299,0.024361244392700772,0.0075393729010569,Up-regulated
2806,1.0613511302998688,0.07672059646635201,0.0321342812424511,Not significant
2807,0.7196922597880018,0.12288782361660695,0.05833418503266508,Not significant
2808,0.7520667083686142,0.12575091358832788,0.059839585407360216,Not significant
2810,0.7035683842860981,0.23142295518215322,0.13153009145605798,Not significant
2811,1.7956033074375584,7.750325516069013e-4,7.664661650562724e-5,Up-regulated
2812,2.530359609705673,0.22328799176675282,0.12456846079366839,Not significant
2813,10.290162878784272,0.43516970641728286,0.3506166628202075,Not significant
2817,9.26532202423487,0.43516970641728286,0.3506166628202075,Not significant
2818,10.259493182721728,0.43516970641728286,0.33904030713584776,Not significant
2819,9.980318117957545,0.43516970641728286,0.3506166628202075,Not significant
2820,10.547846459456345,0.43516970641728286,0.3402943855922186,Not significant
2821,9.605710997410885,0.43516970641728286,0.3506166628202075,Not significant
2822,10.481421052931873,0.43516970641728286,0.3506166628202075,Not significant
2823,2.322586769528256,0.20145178266301073,0.10793315406203192,Not significant
2824,3.113577618316069,0.20985951019166074,0.11487946427594692,Not significant
